grammatical,ungrammatical,direct_log_prob_grammatical,direct_log_prob_ungrammatical,MetaQuestionSimple_log_prob_yes_grammatical,MetaQuestionSimple_log_prob_no_grammatical,MetaQuestionSimple_log_prob_yes_ungrammatical,MetaQuestionSimple_log_prob_no_ungrammatical,MetaInstruct_log_prob_yes_grammatical,MetaInstruct_log_prob_no_grammatical,MetaInstruct_log_prob_yes_ungrammatical,MetaInstruct_log_prob_no_ungrammatical,MetaQuestionComplex_log_prob_yes_grammatical,MetaQuestionComplex_log_prob_no_grammatical,MetaQuestionComplex_log_prob_yes_ungrammatical,MetaQuestionComplex_log_prob_no_ungrammatical
The mushroom isn't bought by some men.,The mushroom isn't bought by some plane.,-68.59619951248169,-73.16447353363037,-2.52243971824646,-3.6871249675750732,-3.01410174369812,-4.0551652908325195,-1.2698924541473389,-3.3082082271575928,-1.4843714237213135,-3.3852007389068604,-2.212437391281128,-4.681720733642578,-2.0885748863220215,-4.34459924697876
Alice conceals what the teenager that couldn't scan some newspaper articles couldn't walk through.,Alice conceals that the teenager that couldn't scan some newspaper articles couldn't walk through.,-150.37928009033203,-144.61250495910645,-1.9746454954147339,-3.5174646377563477,-1.657246708869934,-3.517017364501953,-1.1814833879470825,-3.572819709777832,-0.9724925756454468,-3.6540350914001465,-1.4864768981933594,-4.160524368286133,-1.2925008535385132,-4.128915309906006
That bank that wouldn't resemble those sketches is talking to itself.,That bank that wouldn't resemble those sketches is talking to themselves.,-104.07629585266113,-104.96491813659668,-1.650842547416687,-3.711514472961426,-1.5555554628372192,-3.8153562545776367,-1.0768743753433228,-3.743783473968506,-1.0161529779434204,-3.806429386138916,-1.894666314125061,-4.676623821258545,-1.778134822845459,-4.510592937469482
That cart had accelerated.,That cart had seen.,-60.7967472076416,-59.59791660308838,-2.041395664215088,-3.7653441429138184,-3.5013232231140137,-3.076965808868408,-0.9160354733467102,-3.6170670986175537,-2.04579496383667,-3.0747036933898926,-1.9041510820388794,-5.078496932983398,-2.4053795337677,-4.565235137939453
The doctors see these waitresses that weren't disturbing Chad.,The doctors see who these waitresses weren't disturbing Chad.,-117.60801315307617,-118.56065368652344,-2.0552639961242676,-3.3480191230773926,-2.4115946292877197,-3.897188425064087,-1.1976310014724731,-3.329282760620117,-1.5267724990844727,-3.5464468002319336,-1.3186395168304443,-4.189360618591309,-1.4798033237457275,-4.124218940734863
Ellen opened most doors.,Ellen appeared most doors.,-64.71771240234375,-65.4093189239502,-3.737861156463623,-4.257321834564209,-2.4050543308258057,-2.9999401569366455,-2.5390074253082275,-4.290707588195801,-1.413432240486145,-2.9692516326904297,-1.1980257034301758,-4.178166389465332,-1.492861032485962,-3.8368990421295166
Many children talk to themselves.,Many children talk to himself.,-42.2785005569458,-49.15125274658203,-1.4961936473846436,-3.638340711593628,-1.204848051071167,-3.321859121322632,-0.7416129112243652,-3.8377060890197754,-0.6304185390472412,-3.5509660243988037,-1.475879192352295,-4.540093898773193,-1.5403966903686523,-4.613214492797852
Russell knows that the men that weren't descending the hills had disliked Steven.,Russell knows who the men that weren't descending the hills had disliked Steven.,-120.26434326171875,-137.86248779296875,-1.4846992492675781,-4.08475399017334,-1.5305993556976318,-4.109954833984375,-0.6422241926193237,-4.431801795959473,-0.7552031874656677,-4.327095031738281,-1.3679449558258057,-4.471227645874023,-1.33603835105896,-4.270123481750488
Some ice isn't lifted by some boy.,Some ice isn't lifted by some octopus.,-67.49216365814209,-71.94478034973145,-2.423027753829956,-3.854424238204956,-1.5728296041488647,-3.2525601387023926,-1.1319829225540161,-3.6057024002075195,-0.9519479274749756,-2.8003156185150146,-2.528198480606079,-4.555251121520996,-2.6343886852264404,-4.472132682800293
It's herself that Patricia investigates.,It's herself that investigates Patricia.,-61.888792991638184,-69.45148944854736,-1.9759069681167603,-4.058813571929932,-2.948418617248535,-3.9780216217041016,-0.9809355139732361,-3.430224895477295,-1.1178263425827026,-3.337592124938965,-2.2084507942199707,-4.1417555809021,-2.598973512649536,-4.000514984130859
Some glove wasn't irritating some teenager.,Some glove aren't irritating some teenager.,-75.90279388427734,-79.35547637939453,-2.65797758102417,-3.965280055999756,-2.212474822998047,-3.8082380294799805,-1.4374887943267822,-3.4156649112701416,-1.4061813354492188,-3.5146350860595703,-1.8006224632263184,-3.768664836883545,-2.0494534969329834,-3.974738836288452
Jennifer concealed those cups.,Jennifer concealed those cup.,-59.02247905731201,-69.72457885742188,-1.8308440446853638,-3.595425605773926,-2.922872304916382,-3.078195333480835,-0.8221229314804077,-3.5663723945617676,-1.5732965469360352,-2.8680200576782227,-1.0909847021102905,-4.43777322769165,-1.2353049516677856,-4.276251792907715
Rodney was moving Victoria.,Rodney was sighing Victoria.,-60.26612663269043,-67.28394985198975,-1.9936704635620117,-3.93369197845459,-1.073045253753662,-3.6094908714294434,-0.6849309802055359,-3.127814531326294,-0.438831627368927,-3.293569803237915,-1.831580400466919,-3.2199318408966064,-2.4504401683807373,-3.571990728378296
That lamp wasn't darkening.,That lamp wasn't buying.,-61.41219997406006,-56.9395694732666,-3.0270442962646484,-3.570847511291504,-2.1442251205444336,-2.5327272415161133,-1.4602047204971313,-3.225564479827881,-1.3771207332611084,-2.136957883834839,-1.1314830780029297,-4.245931625366211,-1.340278148651123,-4.287539958953857
Every dancer can't say some committee loves itself.,Every dancer can't say some committee loves herself.,-92.98287391662598,-94.0558910369873,-2.1759073734283447,-2.667398691177368,-2.4183545112609863,-2.98777437210083,-1.3422210216522217,-2.8806493282318115,-1.27874755859375,-3.0798215866088867,-2.5815505981445312,-4.252505302429199,-2.4769725799560547,-4.129154205322266
Only those adults who Wayne loved should ever order Samantha to impress Mary.,Those adults who only Wayne loved should ever order Samantha to impress Mary.,-127.87650489807129,-133.40424156188965,-1.878084659576416,-2.985124111175537,-2.432769536972046,-3.3391616344451904,-0.9033512473106384,-3.3098387718200684,-1.3823696374893188,-3.229306697845459,-1.6835131645202637,-3.8855690956115723,-1.7264002561569214,-4.357023239135742
Who has Tonya learned she approaches?,Who has Tonya learned who approaches?,-73.43115997314453,-73.61664581298828,-2.8783700466156006,-2.4734103679656982,-2.554502010345459,-2.325491428375244,-1.8642069101333618,-2.6967291831970215,-1.7481609582901,-2.3677315711975098,-2.926626682281494,-4.90512228012085,-3.066819667816162,-5.041635036468506
Most actors skated around this library.,Many reports skated around this library.,-68.91717529296875,-68.87727355957031,-1.700376033782959,-3.932483196258545,-1.9527394771575928,-3.6316230297088623,-0.824661374092102,-3.7397680282592773,-0.9508292078971863,-3.727032423019409,-1.4909085035324097,-4.659274101257324,-1.1545133590698242,-4.820055961608887
Jodi drove to some hills.,Jodi driven to some hills.,-58.40345287322998,-60.16221809387207,-3.126408338546753,-5.321193695068359,-4.431084632873535,-4.549705505371094,-1.2721798419952393,-4.945777893066406,-2.8264660835266113,-4.6385722160339355,-1.2416576147079468,-4.160379886627197,-2.074197292327881,-3.7178263664245605
The known cashiers weren't important.,The knew cashiers weren't important.,-71.76519775390625,-69.48235321044922,-3.0944888591766357,-3.8463189601898193,-3.7539117336273193,-3.980079412460327,-1.834057331085205,-3.613673686981201,-2.0555293560028076,-3.3847815990448,-1.7074060440063477,-4.425695419311523,-1.4501855373382568,-3.9349000453948975
This mother of the Borgias wakes up.,This mother of the Borgias praised.,-85.30004024505615,-95.00209045410156,-2.0492947101593018,-3.934705972671509,-2.735034227371216,-3.725295305252075,-0.7930001020431519,-3.800656318664551,-1.175276756286621,-3.48447322845459,-1.8835291862487793,-5.452646732330322,-1.9718269109725952,-4.3354105949401855
All tomatoes can ripen.,All tomatoes can look like.,-59.99113655090332,-59.637399673461914,-1.6261712312698364,-3.5569143295288086,-2.7768349647521973,-3.2859082221984863,-0.6312498450279236,-3.359139919281006,-1.6733604669570923,-2.9642367362976074,-1.5350416898727417,-2.919025421142578,-2.6244428157806396,-3.843975782394409
James wasn't revealed by some woman.,James wasn't revealed by some cars.,-68.42045593261719,-70.16732788085938,-2.0323259830474854,-3.6709578037261963,-2.3614182472229004,-3.497302532196045,-0.8641749024391174,-3.1924991607666016,-1.1774442195892334,-3.2135159969329834,-1.4460093975067139,-4.47061824798584,-1.4533404111862183,-4.239785194396973
This screen that is disgusting Helen did bore itself.,This screen that is disgusting Helen did bore herself.,-115.87141036987305,-115.62677383422852,-2.0762405395507812,-2.726386070251465,-1.976331114768982,-2.9921889305114746,-1.701021671295166,-2.6328587532043457,-1.6116204261779785,-2.8368496894836426,-2.34898042678833,-4.070001125335693,-2.2171640396118164,-4.046717643737793
The actors weren't working with themselves.,The actors weren't working with himself.,-58.610023498535156,-60.826168060302734,-2.012094497680664,-3.48077392578125,-1.7348790168762207,-3.5203909873962402,-1.0732918977737427,-3.0047569274902344,-0.9179263710975647,-3.1216349601745605,-1.2154401540756226,-4.403549671173096,-1.3258405923843384,-4.396931171417236
Every unicycle is sold by the senator.,Every unicycle is sold by the report.,-63.601552963256836,-69.62898302078247,-1.0194499492645264,-2.8918168544769287,-1.5197454690933228,-2.493429660797119,-0.5632743835449219,-2.8773488998413086,-0.8067594766616821,-2.4589905738830566,-1.571679711341858,-3.7965970039367676,-1.6479213237762451,-3.4828412532806396
The worn glasses weren't dirty.,The wore glasses weren't dirty.,-57.09398365020752,-64.88313388824463,-1.5965031385421753,-4.106936454772949,-1.7156414985656738,-4.011450290679932,-0.8550007939338684,-3.9741947650909424,-0.994076669216156,-3.6255884170532227,-1.2633051872253418,-4.591421604156494,-1.3097468614578247,-4.177061080932617
What malls has Ella biked to?,What has Ella biked to malls?,-79.42579650878906,-82.42969512939453,-1.8387731313705444,-3.018960475921631,-2.064624786376953,-3.0548810958862305,-1.1388733386993408,-2.4096968173980713,-1.175612211227417,-2.610255002975464,-3.679607391357422,-6.196081161499023,-3.1965889930725098,-6.050106525421143
Only Randolf does ever boast about Carlos.,Even Randolf does ever boast about Carlos.,-92.89094924926758,-102.93770599365234,-1.9259247779846191,-2.812971591949463,-2.601682662963867,-3.1036224365234375,-1.2386499643325806,-2.62626314163208,-1.53419029712677,-2.4900636672973633,-2.260699510574341,-3.67223858833313,-2.234800338745117,-3.8696651458740234
Marla's French teacher wants it to be not so pleasant that some governments haven't dared Emily to conceal William.,Marla's French teacher was pressuring it to be not so pleasant that some governments haven't dared Emily to conceal William.,-175.41131258010864,-193.05042028427124,-2.972177505493164,-3.9104690551757812,-3.0679421424865723,-4.207683086395264,-2.1357760429382324,-3.7893643379211426,-2.208570957183838,-3.827174663543701,-1.6506465673446655,-3.3102078437805176,-1.5844045877456665,-3.076323986053467
Dennis was passing whose closet?,Whose was Dennis passing closet?,-71.19357204437256,-65.50891590118408,-2.2347347736358643,-3.4047367572784424,-3.4972949028015137,-2.6637511253356934,-1.4997878074645996,-2.735970973968506,-2.253753423690796,-2.0587317943573,-2.1071672439575195,-5.440627098083496,-3.1224045753479004,-5.4001383781433105
Who have these turtles astounded without impressing Naomi?,Who have these turtles astounded Naomi without impressing?,-105.70122623443604,-104.06019973754883,-2.525585651397705,-2.3767590522766113,-3.05623722076416,-2.769251823425293,-1.7364609241485596,-2.042271852493286,-2.1347827911376953,-2.3039417266845703,-3.54710054397583,-6.378622531890869,-3.320509910583496,-6.252384185791016
Essays about Galileo weren't fun to disagree with.,Essays about Galileo weren't about to disagree with.,-73.85028648376465,-75.71795654296875,-2.3786978721618652,-3.6935973167419434,-3.0448622703552246,-3.783041477203369,-1.6635820865631104,-3.4189274311065674,-2.0778913497924805,-3.516852378845215,-0.8558405041694641,-4.068974494934082,-1.0201027393341064,-3.5649750232696533
Who had Kristen's tutor that didn't admire Nancy's students cared for?,Who had Nancy's students cared for Kristen's tutor that didn't admire?,-123.62415790557861,-129.74321365356445,-2.466698169708252,-2.5732474327087402,-2.8178980350494385,-2.693396806716919,-1.7700178623199463,-2.66463303565979,-2.1942286491394043,-2.4296116828918457,-2.1335859298706055,-4.145404815673828,-2.1876988410949707,-4.330385684967041
Meredith had preferred there to be a box impressing Carol.,Meredith had begged there to be a box impressing Carol.,-107.43245887756348,-101.90896129608154,-2.035628080368042,-3.459568738937378,-3.4962408542633057,-4.914009094238281,-1.0712834596633911,-3.291558265686035,-1.658511757850647,-4.491469860076904,-1.4852912425994873,-4.305548667907715,-1.4816259145736694,-3.905937671661377
Ellen could hide away.,Ellen could see.,-55.226491928100586,-41.50167942047119,-2.2426862716674805,-3.339876174926758,-2.85734224319458,-4.109852313995361,-1.1237739324569702,-3.299548625946045,-1.4784075021743774,-3.9441428184509277,-1.0965845584869385,-4.274312973022461,-1.431485652923584,-4.3678975105285645
The Clintons toured that red high school.,The Clintons toured those red high school.,-79.73418426513672,-85.83676147460938,-1.455739140510559,-4.305192947387695,-1.6074045896530151,-3.814255714416504,-0.9003661274909973,-3.930525064468384,-0.9347684383392334,-3.6494576930999756,-1.3456833362579346,-4.920378684997559,-1.4147218465805054,-4.782669544219971
The patient messes up these hospitals.,The patients messes up these hospitals.,-66.00106811523438,-67.52852630615234,-1.841978669166565,-2.8632264137268066,-1.786851167678833,-2.7500298023223877,-1.3035043478012085,-2.4493870735168457,-1.4105424880981445,-2.323185920715332,-1.6862753629684448,-3.6297426223754883,-1.9244968891143799,-3.6142380237579346
A lot of mouths that were impressing a doctor had not ever flung open.,A lot of mouths that were not impressing a doctor had ever flung open.,-111.34573125839233,-111.35831212997437,-2.0842599868774414,-3.748231887817383,-2.021118640899658,-3.2872891426086426,-1.189821720123291,-3.6364989280700684,-1.1785327196121216,-3.3507137298583984,-1.6652730703353882,-3.769050121307373,-1.6963832378387451,-3.8600852489471436
Who will some cashiers and this girl break?,Who could some cashiers break and this girl?,-85.51620483398438,-85.12701034545898,-2.9003000259399414,-2.8417911529541016,-2.559380054473877,-2.7405495643615723,-1.8784987926483154,-2.308645009994507,-1.5169252157211304,-2.3800482749938965,-3.696777582168579,-5.226935386657715,-3.5836644172668457,-5.3400492668151855
Eva got fired.,Eva gotten fired.,-48.48431587219238,-54.348134994506836,-2.076467990875244,-3.5500283241271973,-1.278975248336792,-2.3874146938323975,-0.9108491539955139,-3.1784234046936035,-0.8896939754486084,-2.0764386653900146,-1.2716511487960815,-3.5934629440307617,-1.7164199352264404,-3.9267594814300537
Tina reveals that this guy had researched this committee.,Tina reveals what this guy had researched this committee.,-90.18069553375244,-101.8610725402832,-2.5659918785095215,-4.577516078948975,-3.0802855491638184,-4.2270379066467285,-1.3658993244171143,-4.352191925048828,-1.8139324188232422,-4.059361457824707,-1.2613571882247925,-4.326877593994141,-1.460220217704773,-4.215519905090332
No girl was arriving at more than two libraries.,No girl was arriving at at least two libraries.,-68.21208000183105,-67.67070770263672,-2.1662869453430176,-1.8076510429382324,-2.3115549087524414,-1.954154133796692,-1.379704475402832,-2.738149642944336,-1.6814559698104858,-2.9132351875305176,-1.3583464622497559,-3.4517006874084473,-1.5338516235351562,-3.1051816940307617
Carrie's nephews that are approaching this guy had not ever persuaded Peter's best friends to dislike Patricia.,Carrie's nephews that are not approaching this guy had ever persuaded Peter's best friends to dislike Patricia.,-177.52004051208496,-172.0996732711792,-2.63407039642334,-4.378796577453613,-2.7582614421844482,-4.016234397888184,-1.9695667028427124,-4.125072002410889,-2.040374279022217,-3.7999701499938965,-0.9564003348350525,-3.522728443145752,-0.9578859210014343,-3.8482677936553955
Matt isn't disturbing himself.,Matt isn't disturbing itself.,-50.17696952819824,-55.47902870178223,-2.006657600402832,-3.6477737426757812,-1.9876110553741455,-3.617363214492798,-0.9419972896575928,-3.2925641536712646,-0.939443826675415,-3.213667154312134,-1.4467438459396362,-3.9761457443237305,-1.623603343963623,-3.7320199012756348
George isn't remembering who many men complain about.,George isn't remembering that many men complain about.,-78.33731174468994,-80.86882591247559,-2.6836681365966797,-4.122821807861328,-3.4421868324279785,-4.168118000030518,-1.1447114944458008,-3.4718618392944336,-1.7310738563537598,-3.659304141998291,-1.5971678495407104,-3.8577308654785156,-1.2893258333206177,-4.205730438232422
Beverly's grandmothers ascend three slopes and that dancer's grandsons ascend almost as many lost slopes.,Beverly's grandmothers ascend three smooth slopes and that dancer's grandsons ascend almost as many lost.,-160.28888320922852,-169.1657681465149,-2.7316477298736572,-4.139860153198242,-2.5083155632019043,-3.594693660736084,-1.5843300819396973,-3.6685891151428223,-1.6050187349319458,-3.3249473571777344,-1.5264580249786377,-4.147123336791992,-1.337845802307129,-3.875530242919922
Kristen wasn't discovering two out in the open grandfathers and most nephews of Karla aren't discovering three.,Kristen wasn't discovering two grandfathers and most nephews of Karla aren't discovering three out in the open.,-181.40530586242676,-180.3205132484436,-2.581068754196167,-3.4577672481536865,-2.7845587730407715,-3.5502209663391113,-2.0591063499450684,-3.6885218620300293,-2.1388936042785645,-3.673266887664795,-1.167394995689392,-3.3748831748962402,-0.8977705240249634,-3.7870497703552246
Karla could listen to herself.,Karla could listen to himself.,-52.13362979888916,-56.84946537017822,-1.040034532546997,-3.84049916267395,-1.1853306293487549,-3.5972864627838135,-0.5035865306854248,-3.964634656906128,-0.6086192727088928,-3.669191837310791,-1.1519590616226196,-4.135584354400635,-1.1607277393341064,-4.132196426391602
Derek isn't referencing himself.,Derek isn't referencing itself.,-51.12875032424927,-54.92374038696289,-3.4313254356384277,-4.221740245819092,-4.029614448547363,-4.137931823730469,-2.3963727951049805,-4.292242050170898,-3.3476104736328125,-4.330118179321289,-2.3542323112487793,-3.9191222190856934,-2.5399839878082275,-4.099117279052734
Julie attacks five brothers and all customers' tutor attacks four upset brothers.,Julie attacks five ill brothers and all customers' tutor attacks four upset.,-135.09548664093018,-152.9284143447876,-2.4654664993286133,-3.2612476348876953,-2.047618865966797,-3.0098724365234375,-1.3924641609191895,-3.2202134132385254,-1.151248812675476,-3.1182479858398438,-1.5251002311706543,-3.500370502471924,-1.7126110792160034,-3.249131202697754
An adult can take at most four mountains.,No adult can take at most four mountains.,-58.43000078201294,-69.0344295501709,-2.933957576751709,-4.083200931549072,-3.681191921234131,-2.31093168258667,-1.444714069366455,-3.9870505332946777,-2.6160995960235596,-3.291968584060669,-1.1762820482254028,-4.545961380004883,-1.908523678779602,-3.5282115936279297
A lot of teenagers noticed a few unemployed contractors and Andrea's dermatologist noticed a lot.,A lot of teenagers noticed a few contractors and Andrea's dermatologist noticed a lot unemployed.,-127.40232753753662,-130.8280792236328,-1.161996603012085,-3.9173295497894287,-1.3712531328201294,-3.803948402404785,-0.7543118000030518,-3.805466890335083,-0.8298173546791077,-3.7345337867736816,-1.456010341644287,-3.533012866973877,-1.2907507419586182,-3.5588924884796143
The Clintons' sisters joke around.,The Clintons' sisters bike to.,-64.19836521148682,-68.42565822601318,-1.7906162738800049,-3.995793581008911,-4.899899959564209,-5.301896572113037,-1.0963994264602661,-3.7061843872070312,-3.7382419109344482,-5.293919563293457,-1.0739027261734009,-4.551968097686768,-1.4384092092514038,-2.771120548248291
There isn't a river disappearing.,There isn't each river disappearing.,-54.622191429138184,-65.6155138015747,-2.558145523071289,-3.329824447631836,-3.3482322692871094,-3.5298948287963867,-1.5774556398391724,-3.137411117553711,-2.122222900390625,-3.2331771850585938,-1.922023057937622,-4.202879905700684,-2.125270366668701,-4.330220699310303
Who had this sister of Stephen that isn't finding Charles talked to?,Who had Charles talked to this sister of Stephen that isn't finding?,-109.0193510055542,-113.6655387878418,-2.3575057983398438,-2.726245880126953,-3.4360406398773193,-3.0528981685638428,-1.6387939453125,-2.5811023712158203,-2.1372077465057373,-2.4935643672943115,-2.279428005218506,-4.558200359344482,-2.818769931793213,-5.331702709197998
Lawrence can astound which museum?,Which can Lawrence astound museum?,-79.41323852539062,-75.01988792419434,-3.0987050533294678,-3.6506621837615967,-3.8170595169067383,-3.293789863586426,-2.120143413543701,-3.128781795501709,-2.93485689163208,-2.992138385772705,-2.349579095840454,-4.845560073852539,-2.6418585777282715,-4.068769931793213
Gina didn't see herself.,Gina didn't see themselves.,-43.308324337005615,-48.13456630706787,-2.2327563762664795,-4.032238006591797,-2.2811665534973145,-3.872464656829834,-1.0928305387496948,-3.655241012573242,-1.1296766996383667,-3.452967643737793,-1.3511344194412231,-3.7913007736206055,-1.2474607229232788,-4.106038570404053
Some dancers that were leaving Scott need to return to Gregory.,Some dancers that were leaving Scott needs to return to Gregory.,-102.76742935180664,-100.56869888305664,-1.4723398685455322,-3.5709726810455322,-1.7643829584121704,-3.5750889778137207,-0.8232097625732422,-3.719442367553711,-0.9690648317337036,-3.5418567657470703,-1.7930747270584106,-3.9846363067626953,-1.868299126625061,-3.8929152488708496
Mark had observed what pedestrian?,What had Mark observed pedestrian?,-77.65361595153809,-70.78257751464844,-1.5625786781311035,-3.2653145790100098,-2.2737042903900146,-2.9418532848358154,-0.9308024644851685,-2.9750051498413086,-1.252515435218811,-2.3491454124450684,-1.9101228713989258,-5.102484703063965,-2.47356915473938,-5.819250106811523
Kathleen shouldn't see those restaurants that had worried the cashier.,Kathleen shouldn't see who those restaurants had worried the cashier.,-106.17771053314209,-113.48703002929688,-2.030862331390381,-3.514493465423584,-2.738585948944092,-3.3290066719055176,-1.3126684427261353,-3.5856595039367676,-1.714836835861206,-2.934448003768921,-1.7519458532333374,-3.8330960273742676,-1.893689751625061,-3.774355411529541
Lori disgusted herself.,Lori disgusted itself.,-53.20292949676514,-56.21227264404297,-0.9756887555122375,-3.4385297298431396,-2.2364466190338135,-3.7754757404327393,-0.45754602551460266,-3.454942464828491,-0.8978738188743591,-3.4981117248535156,-1.500609278678894,-4.14157772064209,-1.7234736680984497,-4.5186567306518555
Helen is observed by the doctor.,Helen is observed by the candles.,-48.80692672729492,-57.33500671386719,-1.3071997165679932,-4.57847785949707,-2.408186435699463,-4.462225437164307,-0.6733012199401855,-4.498633861541748,-1.2579985857009888,-4.231647491455078,-1.4367997646331787,-4.266599655151367,-1.6776655912399292,-4.160761833190918
Teresa likes Alan.,Teresa like Alan.,-53.14099311828613,-54.102935791015625,-1.5283310413360596,-4.698291778564453,-1.3642878532409668,-3.5432562828063965,-0.7522501349449158,-4.253528118133545,-0.8814951181411743,-3.169752597808838,-2.0812997817993164,-3.797574996948242,-2.6120705604553223,-4.352270603179932
Mary had left.,Mary had referenced.,-34.48847961425781,-48.95957565307617,-1.2431694269180298,-2.9376511573791504,-2.343869924545288,-4.565196990966797,-0.8070746064186096,-2.596864700317383,-1.1847362518310547,-4.152360916137695,-1.4465385675430298,-4.313818454742432,-0.9829415082931519,-4.778741836547852
Marie isn't sure to entreat Steven to ascend the hills.,Marie isn't boring to entreat Steven to ascend the hills.,-97.78636360168457,-105.58672904968262,-3.044105052947998,-3.6635022163391113,-2.225602865219116,-2.7443654537200928,-1.7942249774932861,-3.2933542728424072,-1.3232167959213257,-2.7551703453063965,-1.688649296760559,-3.6304798126220703,-1.9701948165893555,-3.7374916076660156
Some lake was passed by some cashiers.,Some lake was passed by some phenomena.,-61.363839626312256,-63.03739929199219,-1.6607394218444824,-3.9788594245910645,-3.011329412460327,-4.947017669677734,-0.8804890513420105,-3.5249459743499756,-1.466160535812378,-4.4933271408081055,-2.5194361209869385,-4.728933334350586,-2.3924174308776855,-4.965291500091553
Mitchell criticized Amy.,Some art gallery criticized Amy.,-42.57820129394531,-65.82351493835449,-1.3060585260391235,-3.7984395027160645,-1.9384520053863525,-4.762519836425781,-0.6390296816825867,-3.6940243244171143,-0.8482764363288879,-4.767338275909424,-1.017212152481079,-4.079595565795898,-1.4109148979187012,-3.975450038909912
The worn skirts weren't important.,The wore skirts weren't important.,-64.69957160949707,-64.98855686187744,-3.5344042778015137,-3.963496685028076,-3.357879638671875,-4.1400651931762695,-2.2127561569213867,-3.6825904846191406,-2.029581308364868,-3.5795576572418213,-1.648066520690918,-4.186222076416016,-1.5921710729599,-4.211484432220459
Ella was researching a few scared ex-boyfriends and Mary was researching several.,Ella was researching a few ex-boyfriends and Mary was researching several scared.,-118.36506652832031,-123.57482147216797,-2.504991054534912,-4.323063373565674,-2.632988929748535,-4.394240379333496,-1.272140383720398,-4.339841842651367,-1.466034173965454,-4.238685607910156,-1.2777117490768433,-3.4824047088623047,-1.2370737791061401,-3.288623809814453
Becky paints.,Becky conceals.,-43.964385986328125,-54.80680274963379,-5.781817436218262,-7.112433433532715,-3.758760929107666,-4.3976521492004395,-3.1767892837524414,-6.409708023071289,-2.8997111320495605,-4.4285569190979,-1.6052461862564087,-4.190245151519775,-1.2506110668182373,-4.420154571533203
Katherine wasn't thinking that schools hadn't loved her.,Katherine wasn't thinking that schools hadn't loved herself.,-80.6092472076416,-87.89114570617676,-4.450932502746582,-4.160493850708008,-4.2495503425598145,-4.0064377784729,-1.8327044248580933,-3.402009963989258,-1.856218695640564,-3.377742290496826,-0.9945964217185974,-3.6755504608154297,-1.0822564363479614,-3.5356550216674805
The hidden bicycles weren't exposed.,The hid bicycles weren't exposed.,-62.07321643829346,-74.88057231903076,-1.8710086345672607,-4.075613975524902,-2.3085684776306152,-3.5282416343688965,-0.9716801047325134,-3.9349541664123535,-1.2422040700912476,-3.3638949394226074,-1.6419360637664795,-4.44956111907959,-1.6893867254257202,-4.25195837020874
Some child hasn't bored April.,Some child haven't bored April.,-59.64191913604736,-61.9180326461792,-1.6079394817352295,-3.389878034591675,-2.039895534515381,-3.4113879203796387,-1.0269224643707275,-3.0819180011749268,-1.2784357070922852,-3.181981086730957,-1.9151781797409058,-4.232383728027344,-1.97721266746521,-4.179384231567383
It's itself that every book hasn't disagreed with.,It's itself that hasn't disagreed with every book.,-83.45566654205322,-80.95963954925537,-3.750540256500244,-3.1360268592834473,-3.572472095489502,-3.275574207305908,-2.3483686447143555,-3.029775619506836,-2.273495674133301,-3.1072425842285156,-2.978825569152832,-3.9320363998413086,-2.9811882972717285,-4.711639881134033
Catherine took some eggplants.,Catherine taken some eggplants.,-56.928799629211426,-69.14043426513672,-1.3154417276382446,-4.315164089202881,-1.9119242429733276,-4.120325088500977,-0.6906246542930603,-4.490773677825928,-1.0305801630020142,-4.28088903427124,-1.2844605445861816,-4.736844539642334,-1.4931963682174683,-4.619519233703613
A patient finds out that the actress that didn't kiss Veronica returns to Bruce.,A patient finds out who the actress that didn't kiss Veronica returns to Bruce.,-131.12490844726562,-136.18528747558594,-1.695675015449524,-4.036523818969727,-1.6107724905014038,-4.342339038848877,-0.8469178676605225,-3.732434034347534,-0.8360422849655151,-3.924586296081543,-1.3011265993118286,-3.792544364929199,-1.211438775062561,-3.676016330718994
Irene could have one bank and Martha's French teachers could have three rough bank.,Irene could have one red bank and Martha's French teachers could have three rough.,-135.52682304382324,-139.95182037353516,-1.3835498094558716,-2.7557287216186523,-1.5442768335342407,-3.179213047027588,-0.8818151950836182,-2.878812074661255,-0.9583792090415955,-2.805175304412842,-1.2574712038040161,-3.984071731567383,-1.0940184593200684,-4.044098377227783
Can Randolf ever flee from Anna?,Randolf can ever flee from Anna.,-80.73509979248047,-80.21548461914062,-1.432255506515503,-2.1869657039642334,-1.4740850925445557,-2.8703901767730713,-1.1783980131149292,-1.9963587522506714,-0.8979828953742981,-2.417569398880005,-4.005241394042969,-6.246213912963867,-2.206465721130371,-4.574582099914551
Margaret is remembered by Stephen's associates.,Margaret is shrugged by Stephen's associates.,-79.56582927703857,-84.39123916625977,-1.925526738166809,-4.289700508117676,-2.47756028175354,-4.274953842163086,-0.9402298927307129,-3.8551011085510254,-1.2180509567260742,-4.019260406494141,-1.5759536027908325,-4.032691955566406,-1.9474940299987793,-4.348134517669678
Brett is kissing which doctor?,Which is Brett kissing doctor?,-56.883097648620605,-65.74920845031738,-2.7082419395446777,-2.4369397163391113,-2.1020359992980957,-1.5720887184143066,-1.7162182331085205,-1.8924992084503174,-1.4567022323608398,-1.5254364013671875,-2.2945265769958496,-5.7206597328186035,-3.7904486656188965,-5.810123920440674
